hashtags,counts,Relevant-Annotator#1,Relevant-Annotator#2
climatechange,5368,y,y
climateaction,1551,y,y
environment,1530,y,y
energy,1400,y,y
globalwarming,506,y,y
actonclimate,332,y,y
climate,312,y,y
climatechangeisreal,203,y,y
auspol,174,y,n
sustainability,155,y,y
cleanenergy,103,n,y
pollution,86,y,y
wwweek,83,n,n
leadonclimate,76,y,y
renewableenergy,69,y,y
cleanpowerplan,68,y,y
cdnpoli,66,y,n
gcas2018,65,y,y
stepup2018,64,n,n
smartdissent,60,n,n
deathofanation,60,n,n
parisagreement,59,y,y
climatejustice,58,y,y
coal,54,y,y
science,53,y,y
arctic,52,y,y
renewables,50,y,y
riseforclimate,50,y,y
news,50,n,n
agriculture,49,y,y
water,46,y,y
drought,45,y,y
wildfires,44,y,y
nicc,43,n,n
adaptation,41,n,n
rt,39,n,n
earth,38,y,y
onpoli,37,y,n
resilience,37,n,n
sdgs,37,n,n
fossilfuels,36,y,y
health,36,n,n
carbon,35,y,y
co2,34,y,y
green,32,y,y
glfnairobi2018,31,y,y
sealevelrise,31,y,y
sb100,31,n,n
nature,29,y,y
airpollution,28,y,y
india,28,n,n
california,28,n,n
globalgoals,26,y,y
solar,26,y,y
nuclear,26,y,y
flooding,26,y,y
libspill,26,n,n
australia,23,n,n
food,23,n,n
florida,23,n,n
biodiversity,22,y,y
trump,22,n,n
environmental,21,y,y
scicomm,21,n,n
caadapts,21,n,n
nwas18,21,n,n
education,20,y,n
vegan,20,n,n
conservation,19,n,y
carbonpricing,19,n,y
bcpoli,19,y,n
cop21,19,n,n
policy,19,n,n
msm,19,n,n
china,19,n,n
divest,19,n,n
climateassessment,18,y,y
sustainable,18,y,y
africa,18,n,n
blockchain,18,n,n
research,18,n,n
sdg13,18,n,n
oceans,17,y,y
wildfire,17,y,y
extremeweather,17,y,y
energyefficiency,17,y,y
climatereality,17,y,y
innvation,17,n,n
foodsecurity,16,y,y
carbontax,16,n,y
travel,16,n,n
canada,16,n,n
business,16,n,n
thinklandscape,16,n,n
zerohunger,16,n,n
change,16,n,n
ostrolekac,16,n,n
caf2018,15,n,n
naturebasedsolutions,15,n,n
politics,15,n,n
bcwildfires,14,y,y
climatecrisis,14,y,y
ecology,14,y,y
stopadani,14,n,y
dyk,14,n,n
