hashtags,counts,Relevant-Annotator#1,Relevant-Annotator#2
bitcoin,14698,y,y
cybersecurity,11788,y,y
climatechange,11723,n,n
ai,9962,y,y
blockchain,9941,y,y
digitalart,9290,y,y
tech,8577,y,y
technlogy,8426,y,y
iot,6564,y,y
digitalmarketing,6247,n,n
machinelearning,5722,y,y
fintech,5620,y,y
digitaltransformation,5561,y,y
cryptocurrency,5338,y,y
crypto,5108,y,y
artificialintelligence,4354,y,y
digital,3836,y,y
bigdata,3552,y,y
edtech,3514,y,y
btc,3508,y,y
5g,3351,y,y
art,2840,n,n
innvation,2753,n,n
womenintech,2499,y,y
infosec,2240,y,y
marketing,2236,n,n
patriots,2218,n,n
covid19,2196,n,n
automation,2114,n,y
business,2109,n,n
digitalindia,1774,y,y
data,1759,y,y
seo,1719,y,y
datascience,1713,y,y
robotics,1628,y,y
security,1484,y,y
technews,1482,y,y
deeplearning,1455,y,y
mobile,1381,y,y
stpiindia,1313,n,n
news,1298,n,n
fanart,1287,n,n
digitalhealth,1232,y,y
socialmedia,1226,y,y
coronavirus,1167,n,n
climatecrisis,1151,n,n
healthcare,1132,n,n
illustration,1117,n,n
startup,1104,y,y
cybermonday,1091,n,n
cloud,1065,y,y
iiot,1033,y,y
insurtech,1003,y,y
healthtech,998,y,y
startups,982,y,y
ml,964,y,y
growwithstpi,958,n,n
ethereum,944,y,y
analytics,925,n,n
climateaction,909,n,n
privacy,881,y,y
trading,879,n,n
smartcities,873,y,y
futureofwork,851,n,n
artistontwitter,788,n,n
cyber,783,y,y
education,760,n,n
cardiotwitter,735,n,n
cyberpunk2077,733,n,n
google,708,y,y
digitalpainting,697,y,y
banking,694,n,n
cyberpunk,680,y,n
elliottwave,679,n,n
robots,664,y,y
cybercrime,662,y,y
covidiots,648,n,n
drawing,639,n,n
science,627,n,n
climateemergency,624,n,n
xrp,623,y,y
cybertruck,616,n,n
giveaway,614,n,n
eth,613,y,n
contentmarketing,609,n,n
maga,598,n,n
delhiriots,596,n,n
oc,593,n,n
smartcity,587,y,y
stem,568,n,n
amazon,563,y,y
covidiot,560,n,n
legaltech,560,n,n
socialmediamarketing,559,y,y
iota,556,n,n
it,545,y,y
hongkong,542,n,n
medtech,538,y,y
biotech,528,y,y
finserv,528,n,n
patriotsawakened,520,n,n
hrtech,511,y,y
cryptocurrencies,492,y,y
artistsontwitter,491,n,n
china,490,n,n
procreate,489,n,n
digitalstrategy,480,n,n
climatechangeisreal,477,n,n
finance,477,n,n
ecommerce,477,y,y
searchengineoptimization,476,n,n
sustainability,476,n,n
wireless,475,y,y
wwg1wga,470,n,n
